text,label
Win an iPhone today! Enter now: http://secure-verify.net re: re:,1
We tried to deliver your package. Reschedule at http://secure-verify.net re:,1
Happy birthday! Have an awesome day.,0
URGENT: Your account will be suspended. Verify now at http://bit.ly/claim-now *limited* re:,1
Reminder: dentist appointment on Jan 15. re:,0
The meeting moved to 5:45. Calendar updated.,0
Win an iPhone today! Enter now: http://gift-claim.co FYI,1
Hey are we still meeting at 10:30?,0
Get 50% OFF on all items today only! Visit http://deal-today.shop,1
Hey are we still meeting at 10:30?,0
Earn money from home 1500/week. Sign up at http://bit.ly/claim-now,1
Final notice: Outstanding balance 199. Pay at http://promo-offer.com,1
Win an iPhone today! Enter now: http://secure-verify.net,1
Claim your FREE trial. No credit card required. http://deal-today.shop,1
The meeting moved to 10:30. Calendar updated.,0
Can you send me the report by 10:30?,0
"Thanks for the help yesterday, much appreciated!",0
URGENT: Your account will be suspended. Verify now at http://deal-today.shop re:,1
Get 70% OFF on all items today only! Visit http://deal-today.shop,1
Reminder: dentist appointment on Apr 1.,0
Congratulations! You've won a 499 gift card. Click http://deal-today.shop to claim. !!,1
Reminder: dentist appointment on Mar 22. re: re:,0
Congratulations! You've won a 1500 gift card. Click http://secure-verify.net to claim.,1
Congratulations! You've won a 999 gift card. Click http://win-now.app to claim. fwd:,1
Don't forget the team stand-up at 10:30.,0
Earn money from home 199/week. Sign up at http://secure-verify.net re: re:,1
Lunch plan today? Thinking Cafe Mocha. *limited*,0
"Thanks for the help yesterday, much appreciated!",0
"I'll be late by 20 mins, stuck in traffic.",0
Congratulations! You've won a 199 gift card. Click http://win-now.app to claim. fwd: re:,1
The meeting moved to 2 PM. Calendar updated.,0
We tried to deliver your package. Reschedule at http://deal-today.shop,1
We tried to deliver your package. Reschedule at http://promo-offer.com !! !!,1
Can you send me the report by 9:00?,0
Can you review the pull request when you get a chance?,0
Happy birthday! Have an awesome day. [AD] [AD],0
We tried to deliver your package. Reschedule at http://gift-claim.co,1
Can you send me the report by 10:30? re: !!,0
"Thanks for the help yesterday, much appreciated!",0
"I'll be late by 10 mins, stuck in traffic.",0
Happy birthday! Have an awesome day. re: fwd:,0
Lunch plan today? Thinking Food Court. FYI (info),0
You have been selected for a limited-time offer. Reply STOP to opt out. re:,1
Exclusive deal for you! 50% discount. http://win-now.app,1
Congratulations! You've won a 999 gift card. Click http://gift-claim.co to claim. (info) (info),1
"Thanks for the help yesterday, much appreciated! !!",0
"Thanks for the help yesterday, much appreciated!",0
Can you send me the report by 2 PM? re:,0
Hey are we still meeting at 2 PM?,0
The meeting moved to 9:00. Calendar updated.,0
Get 40% OFF on all items today only! Visit http://deal-today.shop !!,1
"I'll be late by 5 mins, stuck in traffic.",0
Hey are we still meeting at 2 PM?,0
The meeting moved to 2 PM. Calendar updated.,0
Can you review the pull request when you get a chance?,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Final notice: Outstanding balance 1500. Pay at http://secure-verify.net,1
Win an iPhone today! Enter now: http://promo-offer.com re:,1
Get 30% OFF on all items today only! Visit http://secure-verify.net,1
The meeting moved to 10:30. Calendar updated.,0
Lunch plan today? Thinking Green Deli.,0
Can you send me the report by 5:45? (info) !!,0
The meeting moved to 5:45. Calendar updated.,0
Final notice: Outstanding balance 999. Pay at http://win-now.app (info) !!,1
Hey are we still meeting at 9:00?,0
Earn money from home 999/week. Sign up at http://promo-offer.com FYI,1
Lunch plan today? Thinking Cafe Mocha. !! fwd:,0
Win an iPhone today! Enter now: http://promo-offer.com,1
"Thanks for the help yesterday, much appreciated!",0
"Thanks for the help yesterday, much appreciated! !! fwd:",0
Earn money from home 199/week. Sign up at http://deal-today.shop (info) re:,1
Exclusive deal for you! 50% discount. http://bit.ly/claim-now (info),1
Congratulations! You've won a 199 gift card. Click http://promo-offer.com to claim. FYI,1
URGENT: Your account will be suspended. Verify now at http://gift-claim.co !! fwd:,1
Win an iPhone today! Enter now: http://deal-today.shop,1
Don't forget the team stand-up at 10:30. re:,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Final notice: Outstanding balance 999. Pay at http://deal-today.shop,1
Happy birthday! Have an awesome day.,0
We tried to deliver your package. Reschedule at http://gift-claim.co FYI,1
Can you review the pull request when you get a chance? FYI (info),0
You have been selected for a limited-time offer. Reply STOP to opt out. FYI,1
Don't forget the team stand-up at 5:45.,0
"I'll be late by 5 mins, stuck in traffic.",0
